channel_id,channel_name,videos,visualizaciones
UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,32,56052
UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,27,452548
UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,18,31267
UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,17,424888
UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,14,141661
UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,11,5881
UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,11,4769
UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,10,329798
UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,10,2106
UC6SA1dVHvAkc6yNS_t5cbGw,Conred,8,1693
UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7,67950
UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,7,1138
UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,7,125
UCDfEVbDrimcKw5lfbps915g,De todo Gt,5,4627528
UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,5,3305
UCVpSRoZgngfSL03Nlbjtq9A,Noti7,3,78000
UCGSQ821fpPy-yXL9mUmKbBg,TanGente Podcast,3,37978
UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,3,7046
UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,3,6498
UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,3,1153
UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,2,306117
UCo1g4EQqLwMO9RqEv1rCUpQ,Crónica Panamericana,2,197681
UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,2,140708
UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,2,77449
UCkXkEfAaEGxUaIT6TBBkwMw,One Life,2,71254
UC_lEiu6917IJz03TnntWUaQ,CNN en Español,2,41466
UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,2,32831
UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,2,17160
UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,2,11847
UCzwR2o8LFAgAMfO0KIcFh0A,CANALES ROBOS Y MENTIRAS 💰🧐,2,7105
UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,2,5411
UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,2,2557
UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,1,8190449
UCVbOEcs6RMxXXX3WWNtl_Fw,El Mapa de Sebas,1,749356
UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,1,330057
UC6Y7Hk0Otm2xeX1WoHOQp6Q,Nostalgia Latina,1,222656
UCZyaNecz9ugVReNcNfXXurA,Aventuras de una programadora,1,134775
UCYaMaLJVbMlLwpPACbxPUuQ,Alan Delmonte,1,108616
UC70eD0hNEwDNAfNlqfRWlGA,Welcome to el Mundo,1,104869
UCBedZZFhxFcMudI8oM5joSQ,PaulinoG,1,96794
UC-YGRGi0FeIA5441bGlHOPw,audioschileros,1,70811
UCH4M_4Ed6SUidQthmZ60M2g,Manuel Pedrero,1,62941
UCP1YKuLnn1WhzrkxCv1LILQ,Fortuna Latina,1,58881
UC_Lj2naQPP8vmyDu-AEOo-w,Nuestro Mundo,1,55349
UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,1,36701
UCN5tcDI7z6vN9s3p3n_JtoQ,Jorge Ramos,1,31357
UC-DpoeBbCMOMOH1-j71KPqA,México Poder,1,29736
UCaFyLdpZa60tkGfjOsznHSg,AlcaldexAccidente,1,29419
UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,1,27111
UC-rcR68a-aLwAnszxTG4--A,Panda 01,1,25431
UC8mJT9xUcwgEM1vaMaruysw,República TV,1,16786
UC2EbdGoJZwR_WvkmB0i4rMg,Alexis Burelo,1,15747
UCLXHie0velori7_dqu8w_bQ,Presidencia de la República,1,15726
UCTClcvXaWXGeZheUQFTQLRw,Gente de Guate,1,15482
UCmzHLdcizBNiyN5t2mEPp3A,Tráfico Sin Censura,1,8502
UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,1,8098
UCDvpZGLyno6g-bi-wwYq4wQ,Somos El Combo,1,7340
UClivsn4u-h1uJkORB6PD9SQ,Vittor Blogs,1,6682
UCeMAsS36ZiA56ZNtS8VSuOg,Un Angel Viajando,1,5298
UCquHy3UnphbYGF62_j6W_yQ,Mosca Visión,1,5262
UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español,1,5171
UCmoP9Lvc92Bsl4Vu90kv9GQ,InfoGT Noticias,1,4725
UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,1,4419
UCCM52vmXEcGzRlYyjP47PPg,Chris & Grace,1,3897
UC1B5-Dun1FHWae_rIJdfhow,Ahora Yose,1,3631
UC_nkMVSKgO9PeEaZ3LbPodg,21KMuniGuate,1,3110
UCwlb2TaG9ywiD6uhHWTy-qg,SUM Estudios Jurídicos.,1,2895
UC6XLvudi9BWjAzCR-6KAHiw,carlos del cid,1,2482
UC6ZUGqkstVjgNPvxtb90d8A,CHAPINISIMO,1,2326
UCBQ9OCZNvmC--OH_e-qGGiA,PFNSE MEDIA,1,2291
UCdd624oESXuVlcGtrzMWEBQ,heto009,1,2054
UCvegRo82EipXUzAHQXZmr4A,MundoHistoria,1,1420
UCBn6Y-Y3kCAQqYXHaMIjEVw,Centro Municipal de Emprendimiento MuniGuate,1,528
UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,1,512
UCzQX0cEQzCZ4ff9-P3gELug,Carlitos Gamboa,1,509
UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,1,383
UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls²,1,367
UCwkVsH8aIOco3U_Fu7-UW5w,AztecaGuate,1,289
UCbKjY2f2sGaghyrIeqjZvmg,ALIS MOLINA CREA,1,255
UCJJ071vIw7Bu8lJmXfiVrKw,Ministerio de Finanzas Públicas Guatemala,1,222
UCJcN367ge_Yo1p7b20_KSaA,Canal 3 Guatemala,1,215
UCiQAWoQNcuKIAvCCFQC54UQ,Ministerio de Comunicaciones Infraestructura y Vivienda,1,211
UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,1,164
UCuc8l25EFE17DV8dD64d2AQ,HeX4EveR,1,148
UCFu4dCls6GPdTvgIeE9wjOA,Cucurucho en Guatemala,1,128
UC_ONTY8RI6b-VqB-dhQ5qBQ,Camarita Castro GT,1,84
UClgawHgsbqN6Nuok7ds-Szw,INSIVUMEH,1,79
UCgRLnesCOuua3-JgFlzdS2w,TRAYECTORIA Y EXITO CON ANABELLA CORDON,1,74
UCMJ_FUWKr7PyXfvY55BdGZg,La Red 1061,1,60
UCyGWWWpmAP5AReA_o8bhaRg,MESCOGT,1,58
UCWYeiFUCO0SW6BxZ8aPxVTw,Vicepresidencia Guate,1,48
UCYaCfDw7q5l_S1UHjdfzODQ,INFOM TV,1,23
UCBDxkiJk5id4TIOa1FotGUA,La  Coma,1,21
UCedKfsLot_SfwJrfW5OzpPg,Dionel.Art_music,1,7
UCzPhFkpD8lwvlX8nGpJqdUw,Noticias VR,1,3
UCX2epzWFbtqhO1Tn2au9NXQ,luis arturo ceberg ulban,1,2
UCoXuxT5_LclvcoCeFoS_iUw,Campus TV,1,2
